,CSI_ID,Date,Date2,Replicate,Number,Tank_Name,Salinity,Dispersal,shannon.source,richness.source,J.source,Salinity_Measured
CSI001,ECU_CSI_001,11-Jun-15,0,A,1,A1_2015-June11,13,Source13,4.86904157,765,0.733447594,13.39
CSI002,ECU_CSI_002,11-Jun-15,0,A,2,A2_2015-June11,0,Source0,3.909044424,607,0.6101323,0.33
CSI012,ECU_CSI_012,11-Jun-15,0,B,1,B1_2015-June11,13,Source13,4.775445937,802,0.714260433,13.35
CSI013,ECU_CSI_013,11-Jun-15,0,B,2,B2_2015-June11,0,Source0,4.643022133,754,0.700932429,0.32
CSI022,ECU_CSI_023,11-Jun-15,0,C,1,C1_2015-June11,13,Source13,4.652984459,621,0.723668346,13.85
CSI023,ECU_CSI_024,11-Jun-15,0,C,2,C2_2015-June11,0,Source0,3.00936423,304,0.526689702,0.3
CSI034,ECU_CSI_035,11-Jun-15,0,D,2,D2_2015-June11,0,Source0,4.912298207,923,0.719587734,0.32
CSI087,ECU_CSI_089,29-Jun-15,18,A,1,A1_2015-June29,13,Source13,4.881441627,749,0.737667276,14.3
CSI088,ECU_CSI_090,29-Jun-15,18,A,2,A2_2015-June29,0,Source0,3.86121639,531,0.615356627,0.34
CSI098,ECU_CSI_100,29-Jun-15,18,B,1,B1_2015-June29,13,Source13,4.932860947,926,0.722256211,14.33
CSI099,ECU_CSI_101,29-Jun-15,18,B,2,B2_2015-June29,0,Source0,4.746473922,744,0.717999117,0.33
CSI108,ECU_CSI_111,29-Jun-15,18,C,1,C1_2015-June29,13,Source13,4.076849941,506,0.654962113,13.31
CSI109,ECU_CSI_112,29-Jun-15,18,C,2,C2_2015-June29,0,Source0,4.213319114,616,0.656114442,0.31
CSI119,ECU_CSI_122,29-Jun-15,18,D,1,D1_2015-June29,13,Source13,4.398407499,764,0.662684422,12.38
CSI120,ECU_CSI_123,29-Jun-15,18,D,2,D2_2015-June29,0,Source0,3.936362385,467,0.640441184,0.32
CSI044,ECU_CSI_221,26-Jul-15,45,A,1,A1_2015-July25,13,Source13,2.306580784,197,0.437008465,11.31
CSI045,ECU_CSI_222,26-Jul-15,45,A,2,A2_2015-July25,0,Source0,3.749997061,532,0.597631758,0.26
CSI055,ECU_CSI_232,26-Jul-15,45,B,1,B1_2015-July25,13,Source13,4.307525082,763,0.649119918,11.9
CSI056,ECU_CSI_233,26-Jul-15,45,B,2,B2_2015-July25,0,Source0,4.582422843,677,0.703076705,0.25
CSI065,ECU_CSI_243,26-Jul-15,45,C,1,C1_2015-July25,13,Source13,4.127218169,451,0.675568982,10.59
CSI066,ECU_CSI_244,26-Jul-15,45,C,2,C2_2015-July25,0,Source0,4.480903992,611,0.698671968,0.23
CSI076,ECU_CSI_254,26-Jul-15,45,D,1,D1_2015-July25,13,Source13,4.790853308,730,0.726803768,9.43
CSI077,ECU_CSI_255,26-Jul-15,45,D,2,D2_2015-July25,0,Source0,4.778919783,686,0.731742356,0.24
