Sample #,Replicate,Treatment,Salinity,Dispersal,Date,Maple,Spartina,Phragmites,DryWt_Maple,DryWt_Spartina,DryWt_Phragmites,Cmin
A_1_11JUN15,A,1,13,0,6/11/2015,4.005,6.95,10.04,3.2049,7.03,10.13,0.19
A_10_11JUN15,A,10,13,3,6/11/2015,3.9997,6.98,9.98,1.7681,5.32,4.5,110.67
A_11_11JUN15,A,11,0,2,6/11/2015,4.0063,7.02,9.98,1.4821,5.17,4.78,64.06
A_2_11JUN15,A,2,0,0,6/11/2015,3.9985,6.94,10.07,1.6626,4.91,3.62,46.72
A_3_11JUN15,A,3,0,1,6/11/2015,4.0008,6.92,10.8,1.8444,5.23,4.5,15.1
A_4_11JUN15,A,4,0,3,6/11/2015,3.9948,7,10.02,1.3355,4.3,1.77,54.99
A_5_11JUN15,A,5,5,2,6/11/2015,3.9991,6.97,10.09,1.8128,5.41,5.06,155.17
A_6_11JUN15,A,6,5,3,6/11/2015,4.0076,7.03,9.98,1.965,5.21,4.97,0
A_7_11JUN15,A,7,9,2,6/11/2015,3.9993,6.94,10.01,2.7233,5.8,4.81,3.9
A_8_11JUN15,A,8,9,3,6/11/2015,4.0001,6.96,9.95,2.61248,6.49,5.94,81.56
A_9_11JUN15,A,9,13,2,6/11/2015,3.9992,6.97,9.92,2.9271,6.14,9.13,166.85
B_1_11JUN15,B,1,13,0,6/11/2015,4.0066,7.07,10.07,1.9837,5.59,6.17,38.1
B_10_11JUN15,B,10,13,3,6/11/2015,4.0028,6.97,10.01,2.3364,5.46,5.34,60.38
B_11_11JUN15,B,11,0,2,6/11/2015,4.005,7.07,9.96,1.9042,5.19,4.41,145.53
B_2_11JUN15,B,2,0,0,6/11/2015,3.9993,7,9.97,1.7184,4.88,4.57,70.73
B_3_11JUN15,B,3,0,1,6/11/2015,4.0072,7,10,1.7125,5.24,4.88,11.7
B_4_11JUN15,B,4,0,3,6/11/2015,4.0003,7.03,9.99,2.2989,5.28,4.82,3.96
B_5_11JUN15,B,5,5,2,6/11/2015,4.0074,7.01,9.96,2.1586,5.08,3.44,14.48
B_6_11JUN15,B,6,5,3,6/11/2015,4.0018,7.07,9.96,2.1115,5.51,5.66,30.5
B_8_11JUN15,B,8,9,3,6/11/2015,3.9973,6.99,10.06,2.2375,5.37,4.59,58.35
B_9_11JUN15,B,9,9,2,6/11/2015,4.0546,7.01,10,2.3612,5.6,7.16,26.49
C_1_12JUN15,C,1,13,0,6/12/2015,4.0039,6.97,9.96,2.5189,5.48,8.73,4.47
C_10_12JUN15,C,10,13,3,6/12/2015,4.0074,6.98,10.02,2.5931,5.35,4.75,107.79
C_11_12JUN15,C,11,0,2,6/12/2015,3.9929,7.01,9.96,1.321,4.56,2.72,73.64
C_2_12JUN15,C,2,0,0,6/12/2015,3.9973,7.03,10.08,1.6837,4.89,4.42,73.4
C_3_12JUN15,C,3,0,1,6/12/2015,4.0038,7.05,10.04,1.8725,4.8662,4.19,77.25
C_4_12JUN15,C,4,0,3,6/12/2015,4.0358,6.93,9.99,1.1504,4.53,2.73,8.08
C_5_12JUN15,C,5,5,2,6/12/2015,4.0068,7.03,10,1.9265,5.199,4.81,1.18
C_6_12JUN15,C,6,5,3,6/12/2015,4.006,6.98,10.03,2.1037,5.28,4.61,1.85
C_7_12JUN15,C,7,9,2,6/12/2015,4,7.01,9.98,2.5652,5.62,4.46,52.41
C_8_12JUN15,C,8,9,3,6/12/2015,4.0077,7,9.98,2.1496,5.43,5.45,13.56
C_9_12JUN15,C,9,13,2,6/12/2015,4.0058,7.01,9.93,1.9781,5.44,4.99,58.58
D_1_12JUN15,D,1,13,0,6/12/2015,3.9982,7.03,10.07,2.1574,5.63,5.89,21.18
D_10_12JUN15,D,10,13,3,6/12/2015,4.0014,7.02,9.93,1.9747,5.61,5.39,132.16
D_11_12JUN15,D,11,0,2,6/12/2015,4.0091,7.01,9.93,1.991,4.88,8.27,267.44
D_2_12JUN15,D,2,0,0,6/12/2015,4.0018,7.03,10.06,1.8439,5.24,4.83,189
D_3_12JUN15,D,3,0,1,6/12/2015,3.9995,7.02,10,1.6917,4.91,4.82,0.73
D_4_12JUN15,D,4,0,3,6/12/2015,3.9946,7,9.98,1.8047,4.95,4.28,37.37
D_5_12JUN15,D,5,5,2,6/12/2015,3.9953,6.97,10,2.0827,5.28,7.09,18.14
D_6_12JUN15,D,6,5,3,6/12/2015,3.9971,7.02,9.95,1.8688,5.09,3.71,5.8
D_7_12JUN15,D,7,9,2,6/12/2015,4.0022,6.99,9.99,1.6062,5.48,4.43,10.11
D_8_12JUN15,D,8,9,3,6/12/2015,3.9949,6.98,10.05,1.7586,5.47,4.75,35.26
D_9_12JUN15,D,9,13,2,6/12/2015,3.9956,6.96,9.94,2.0531,5.82,5.74,100.9
